seed,variant,family,condition,metric,value
43,REL,task,T+V missing,DeltaMAE,0.156143839998785
43,REL,task,T+V missing,DeltaCorr,0.35535533337169345
43,REL,task,A+V missing,MAE,0.6559185004958993
43,REL,task,A+V missing,Corr,0.6037097181571678
43,REL,task,A+V missing,DeltaMAE,-0.0031880695383249558
43,REL,task,A+V missing,DeltaCorr,-0.004139039398017519
43,REL,task,missAvg,MAE,0.7318227025306151
43,REL,task,missAvg,Corr,0.43307072244613254
43,REL,task,missAvg,DeltaMAE,0.0727161324963908
43,REL,task,missAvg,DeltaCorr,0.1664999563130177
43,REL,representation,T missing,absolute_l2,8.371984871059617
43,REL,representation,T missing,cosine_drift,0.12773191806795997
43,REL,representation,T missing,relational_drift_rms,0.20689888331664685
43,REL,representation,T missing,legacy_D_cross,0.7262811634196195
43,REL,representation,T missing,shared_reference_D_cross,0.8679285475926721
43,REL,representation,A missing,absolute_l2,3.9267802008530635
43,REL,representation,A missing,cosine_drift,0.04584903372800568
43,REL,representation,A missing,relational_drift_rms,0.09014695952072051
43,REL,representation,A missing,legacy_D_cross,0.3406535650377648
43,REL,representation,A missing,shared_reference_D_cross,0.40709159045705484
43,REL,representation,V missing,absolute_l2,4.412498706975344
43,REL,representation,V missing,cosine_drift,0.042074706906389966
43,REL,representation,V missing,relational_drift_rms,0.1096634089786792
43,REL,representation,V missing,legacy_D_cross,0.38279031124001645
43,REL,representation,V missing,shared_reference_D_cross,0.45744631087883664
43,REL,representation,T+A missing,absolute_l2,9.499635830265419
43,REL,representation,T+A missing,cosine_drift,0.17383419804301728
43,REL,representation,T+A missing,relational_drift_rms,0.2278623908356552
43,REL,representation,T+A missing,legacy_D_cross,0.8241064298524746
43,REL,representation,T+A missing,shared_reference_D_cross,0.9848327792998063
43,REL,representation,T+V missing,absolute_l2,9.847050242333884
43,REL,representation,T+V missing,cosine_drift,0.17362426590303864
43,REL,representation,T+V missing,relational_drift_rms,0.24058403674228312
43,REL,representation,T+V missing,legacy_D_cross,0.8542451063159323
43,REL,representation,T+V missing,shared_reference_D_cross,1.0208494337399834
43,REL,representation,A+V missing,absolute_l2,6.291938834795793
43,REL,representation,A+V missing,cosine_drift,0.08106701021996474
43,REL,representation,A+V missing,relational_drift_rms,0.14535202121394838
43,REL,representation,A+V missing,legacy_D_cross,0.545834318561328
43,REL,representation,A+V missing,shared_reference_D_cross,0.6522889635531636
43,REL,representation,mean(6),absolute_l2,7.058314781047187
43,REL,representation,mean(6),cosine_drift,0.10736352214472938
43,REL,representation,mean(6),relational_drift_rms,0.1700846167679889
43,REL,representation,mean(6),legacy_D_cross,0.6123184824045226
43,REL,representation,mean(6),shared_reference_D_cross,0.7317396042535863
