dataset,protocol,model,seed,missing_pattern,missing_probability,best_epoch,n_params,MAE,Corr,timestamp
MOSEI-DimMatch,B,M2 MaskAware,42,None,0.5,14,174337,0.6644039307982222,0.5928906441285862,2026-09-05 14:56:39
MOSEI-DimMatch,B,M2 MaskAware,42,T missing,0.5,14,174337,0.8139590406864091,0.2238117080352771,2026-09-05 14:56:39
MOSEI-DimMatch,B,M2 MaskAware,42,A missing,0.5,14,174337,0.65411181930116,0.605247933701083,2026-09-05 14:56:40
MOSEI-DimMatch,B,M2 MaskAware,42,V missing,0.5,14,174337,0.6663374913792801,0.5989189651151106,2026-09-05 14:56:41
MOSEI-DimMatch,B,M2 MaskAware,42,T+A missing,0.5,14,174337,0.8107151283381895,0.2026660480324658,2026-09-05 14:56:42
MOSEI-DimMatch,B,M2 MaskAware,42,T+V missing,0.5,14,174337,0.8215864947574799,0.16789066006039535,2026-09-05 14:56:42
MOSEI-DimMatch,B,M2 MaskAware,42,A+V missing,0.5,14,174337,0.658754986793839,0.6081034606812773,2026-09-05 14:56:43
MOSEI-DimMatch,A,M3 H0 Hyper,42,None,0.0,18,413441,0.653127695631348,0.5837271381324958,2026-09-05 14:56:44
MOSEI-DimMatch,A,M3 H0 Hyper,42,T missing,0.0,18,413441,0.8383044234926347,0.04939003601259695,2026-09-05 14:56:45
MOSEI-DimMatch,A,M3 H0 Hyper,42,A missing,0.0,18,413441,0.6508217547086104,0.5944643333813391,2026-09-05 14:56:46
MOSEI-DimMatch,A,M3 H0 Hyper,42,V missing,0.0,18,413441,0.6662134411634576,0.5898299417079026,2026-09-05 14:56:47
MOSEI-DimMatch,A,M3 H0 Hyper,42,T+A missing,0.0,18,413441,0.8406677311266083,0.02215067888577859,2026-09-05 14:56:48
MOSEI-DimMatch,A,M3 H0 Hyper,42,T+V missing,0.0,18,413441,0.8378522996554015,0.02543130441917662,2026-09-05 14:56:48
MOSEI-DimMatch,A,M3 H0 Hyper,42,A+V missing,0.0,18,413441,0.673893400503762,0.5796794294695259,2026-09-05 14:56:49
MOSEI-DimMatch,B,M3 H0 Hyper,42,None,0.5,23,413441,0.6458242961667175,0.6132581976465382,2026-09-05 14:56:50
MOSEI-DimMatch,B,M3 H0 Hyper,42,T missing,0.5,23,413441,0.8076677276477469,0.24405890385357304,2026-09-05 14:56:51
MOSEI-DimMatch,B,M3 H0 Hyper,42,A missing,0.5,23,413441,0.6476711847959434,0.6108737723991182,2026-09-05 14:56:52
