timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/09/15 18:40:58.267, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 58, 118.96 W
2026/09/15 18:41:03.299, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 57, 117.94 W
2026/09/15 18:41:08.302, NVIDIA GeForce RTX 3090, 2 %, 13588 MiB, 24576 MiB, 55, 116.85 W
2026/09/15 18:41:13.304, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 54, 116.67 W
2026/09/15 18:41:18.326, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 59, 150.92 W
2026/09/15 18:41:23.328, NVIDIA GeForce RTX 3090, 96 %, 13588 MiB, 24576 MiB, 64, 336.33 W
2026/09/15 18:41:28.330, NVIDIA GeForce RTX 3090, 97 %, 13588 MiB, 24576 MiB, 63, 202.51 W
2026/09/15 18:41:33.332, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 56, 117.01 W
2026/09/15 18:41:38.334, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 55, 116.48 W
2026/09/15 18:41:43.336, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 54, 115.54 W
2026/09/15 18:41:48.359, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 53, 114.67 W
2026/09/15 18:41:53.361, NVIDIA GeForce RTX 3090, 2 %, 13588 MiB, 24576 MiB, 53, 113.92 W
2026/09/15 18:41:58.363, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 52, 113.96 W
2026/09/15 18:42:03.365, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 52, 113.36 W
2026/09/15 18:42:08.367, NVIDIA GeForce RTX 3090, 3 %, 13588 MiB, 24576 MiB, 52, 112.85 W
2026/09/15 18:42:13.369, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 51, 112.59 W
2026/09/15 18:42:18.402, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 59, 195.66 W
2026/09/15 18:42:23.405, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 62, 332.29 W
2026/09/15 18:42:28.368, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 59, 273.58 W
2026/09/15 18:42:33.300, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 65, 330.73 W
2026/09/15 18:42:38.265, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 60, 193.07 W
2026/09/15 18:42:43.247, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 66, 332.15 W
2026/09/15 18:42:48.237, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 67, 334.41 W
2026/09/15 18:42:53.232, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 59, 122.47 W
2026/09/15 18:42:58.291, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 57, 117.57 W
2026/09/15 18:43:03.386, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 56, 116.46 W
2026/09/15 18:43:08.394, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 64, 333.41 W
2026/09/15 18:43:13.401, NVIDIA GeForce RTX 3090, 34 %, 13588 MiB, 24576 MiB, 63, 193.66 W
2026/09/15 18:43:18.404, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 65, 336.10 W
2026/09/15 18:43:23.408, NVIDIA GeForce RTX 3090, 95 %, 13588 MiB, 24576 MiB, 67, 333.04 W
2026/09/15 18:43:28.411, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 60, 148.89 W
2026/09/15 18:43:33.413, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 57, 118.39 W
2026/09/15 18:43:38.424, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 56, 117.27 W
2026/09/15 18:43:43.425, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 65, 331.99 W
2026/09/15 18:43:48.426, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 61, 227.80 W
2026/09/15 18:43:53.428, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 66, 333.81 W
2026/09/15 18:43:58.429, NVIDIA GeForce RTX 3090, 97 %, 13588 MiB, 24576 MiB, 67, 337.05 W
2026/09/15 18:44:03.430, NVIDIA GeForce RTX 3090, 95 %, 13588 MiB, 24576 MiB, 66, 292.35 W
2026/09/15 18:44:08.434, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 68, 334.59 W
2026/09/15 18:44:13.436, NVIDIA GeForce RTX 3090, 85 %, 13588 MiB, 24576 MiB, 66, 279.84 W
2026/09/15 18:44:18.439, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 68, 335.89 W
2026/09/15 18:44:23.441, NVIDIA GeForce RTX 3090, 88 %, 13588 MiB, 24576 MiB, 66, 183.82 W
2026/09/15 18:44:28.443, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 68, 333.33 W
2026/09/15 18:44:33.445, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 69, 338.43 W
2026/09/15 18:44:38.447, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 68, 281.74 W
2026/09/15 18:44:43.448, NVIDIA GeForce RTX 3090, 98 %, 13588 MiB, 24576 MiB, 69, 337.83 W
2026/09/15 18:44:48.449, NVIDIA GeForce RTX 3090, 77 %, 13588 MiB, 24576 MiB, 66, 283.25 W
2026/09/15 18:44:53.450, NVIDIA GeForce RTX 3090, 98 %, 13588 MiB, 24576 MiB, 69, 338.58 W
2026/09/15 18:44:58.452, NVIDIA GeForce RTX 3090, 95 %, 13588 MiB, 24576 MiB, 67, 204.36 W
2026/09/15 18:45:03.453, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 69, 337.69 W
2026/09/15 18:45:08.454, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 69, 335.21 W
2026/09/15 18:45:13.455, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 68, 311.53 W
2026/09/15 18:45:18.456, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 70, 338.11 W
2026/09/15 18:45:23.458, NVIDIA GeForce RTX 3090, 97 %, 13588 MiB, 24576 MiB, 68, 245.34 W
2026/09/15 18:45:28.459, NVIDIA GeForce RTX 3090, 94 %, 13588 MiB, 24576 MiB, 70, 342.35 W
2026/09/15 18:45:33.460, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 65, 247.31 W
2026/09/15 18:45:38.462, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 61, 125.33 W
2026/09/15 18:45:43.494, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 59, 121.83 W
2026/09/15 18:45:48.495, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 63, 163.94 W
2026/09/15 18:45:53.496, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 66, 332.85 W
2026/09/15 18:45:58.497, NVIDIA GeForce RTX 3090, 95 %, 13588 MiB, 24576 MiB, 65, 199.43 W
2026/09/15 18:46:03.499, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 68, 336.16 W
2026/09/15 18:46:08.500, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 63, 236.41 W
2026/09/15 18:46:13.502, NVIDIA GeForce RTX 3090, 96 %, 13588 MiB, 24576 MiB, 68, 339.21 W
2026/09/15 18:46:18.506, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 69, 333.89 W
2026/09/15 18:46:23.509, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 63, 155.67 W
2026/09/15 18:46:28.512, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 59, 121.48 W
2026/09/15 18:46:33.515, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 58, 119.96 W
2026/09/15 18:46:38.518, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 57, 119.06 W
2026/09/15 18:46:43.531, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 56, 118.13 W
2026/09/15 18:46:48.533, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 62, 331.19 W
2026/09/15 18:46:53.535, NVIDIA GeForce RTX 3090, 96 %, 13588 MiB, 24576 MiB, 65, 338.62 W
2026/09/15 18:46:58.538, NVIDIA GeForce RTX 3090, 72 %, 13588 MiB, 24576 MiB, 63, 199.46 W
2026/09/15 18:47:03.540, NVIDIA GeForce RTX 3090, 100 %, 13588 MiB, 24576 MiB, 67, 335.79 W
2026/09/15 18:47:08.542, NVIDIA GeForce RTX 3090, 97 %, 13588 MiB, 24576 MiB, 66, 232.25 W
2026/09/15 18:47:13.544, NVIDIA GeForce RTX 3090, 5 %, 13588 MiB, 24576 MiB, 58, 119.49 W
2026/09/15 18:47:18.598, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 57, 118.03 W
2026/09/15 18:47:23.600, NVIDIA GeForce RTX 3090, 0 %, 13588 MiB, 24576 MiB, 56, 117.52 W
2026/09/15 18:47:28.602, NVIDIA GeForce RTX 3090, 1 %, 13588 MiB, 24576 MiB, 55, 116.73 W
