family,condition,metric,variant,reference,n_seeds,variant_mean,variant_sample_std,reference_mean,reference_sample_std,paired_difference_mean,paired_difference_sample_std,improved_seeds
representation,T+A missing,shared_reference_D_cross,REL,B3_POINT,3,1.2053402003390559,0.5680119594636285,0.8400832899052912,0.21373738698127784,0.36525691043376457,0.3768851312472253,0
representation,T+V missing,absolute_l2,H0,B3_POINT,3,8.920896715873688,3.29165869344012,8.416245761892364,0.7960676542672596,0.5046509539813231,2.500740463752923,2
representation,T+V missing,absolute_l2,B3_POINT,H0,3,8.416245761892364,0.7960676542672596,8.920896715873688,3.29165869344012,-0.5046509539813231,2.500740463752923,1
representation,T+V missing,absolute_l2,REL,H0,3,11.021727195884784,1.156675039796296,8.920896715873688,3.29165869344012,2.1008304800110955,3.720218600905422,1
representation,T+V missing,absolute_l2,REL,B3_POINT,3,11.021727195884784,1.156675039796296,8.416245761892364,0.7960676542672596,2.6054814339924186,1.5970774511776047,0
representation,T+V missing,cosine_drift,H0,B3_POINT,3,0.3739032784207132,0.08474940296733667,0.22768591509698902,0.07552833596854662,0.14621736332372412,0.08084028528482894,0
representation,T+V missing,cosine_drift,B3_POINT,H0,3,0.22768591509698902,0.07552833596854662,0.3739032784207132,0.08474940296733667,-0.14621736332372412,0.08084028528482894,3
representation,T+V missing,cosine_drift,REL,H0,3,0.19847264744091908,0.02674906120477888,0.3739032784207132,0.08474940296733667,-0.17543063097979406,0.09024921608018775,3
representation,T+V missing,cosine_drift,REL,B3_POINT,3,0.19847264744091908,0.02674906120477888,0.22768591509698902,0.07552833596854662,-0.029213267656069936,0.05501137502768573,2
representation,T+V missing,legacy_D_cross,H0,B3_POINT,3,0.841000062913548,0.050882867211828754,0.8538599461714192,0.01447143234845539,-0.012859883257871204,0.042031342923831295,2
representation,T+V missing,legacy_D_cross,B3_POINT,H0,3,0.8538599461714192,0.01447143234845539,0.841000062913548,0.050882867211828754,0.012859883257871204,0.042031342923831295,1
representation,T+V missing,legacy_D_cross,REL,H0,3,0.8841966207697282,0.0341970786722153,0.841000062913548,0.050882867211828754,0.04319655785618004,0.06925197918901264,1
representation,T+V missing,legacy_D_cross,REL,B3_POINT,3,0.8841966207697282,0.0341970786722153,0.8538599461714192,0.01447143234845539,0.030336674598308837,0.04753592436257215,1
representation,T+V missing,relational_drift_rms,H0,B3_POINT,3,0.5692023479808999,0.062373637644617556,0.39743141076005345,0.03449121766928151,0.17177093722084644,0.09016091044598763,0
representation,T+V missing,relational_drift_rms,B3_POINT,H0,3,0.39743141076005345,0.03449121766928151,0.5692023479808999,0.062373637644617556,-0.17177093722084644,0.09016091044598763,3
representation,T+V missing,relational_drift_rms,REL,H0,3,0.24609567464375962,0.02341746890110501,0.5692023479808999,0.062373637644617556,-0.3231066733371402,0.07874139483766869,3
representation,T+V missing,relational_drift_rms,REL,B3_POINT,3,0.24609567464375962,0.02341746890110501,0.39743141076005345,0.03449121766928151,-0.15133573611629378,0.011768855925284842,3
representation,T+V missing,shared_reference_D_cross,H0,B3_POINT,3,0.841000062913548,0.050882867211828754,0.8364679404623107,0.16549387841616298,0.004532122451237353,0.21456528873378689,2
representation,T+V missing,shared_reference_D_cross,B3_POINT,H0,3,0.8364679404623107,0.16549387841616298,0.841000062913548,0.050882867211828754,-0.004532122451237353,0.21456528873378689,1
representation,T+V missing,shared_reference_D_cross,REL,H0,3,1.1242835385710779,0.39722040427031763,0.841000062913548,0.050882867211828754,0.2832834756575297,0.43923492836652445,1
representation,T+V missing,shared_reference_D_cross,REL,B3_POINT,3,1.1242835385710779,0.39722040427031763,0.8364679404623107,0.16549387841616298,0.28781559810876706,0.2464643039672218,0
representation,V missing,absolute_l2,H0,B3_POINT,3,3.805904154083827,1.4922800127973177,3.8247611423205012,0.5658519542967011,-0.018856988236674106,0.95594321830025,2
representation,V missing,absolute_l2,B3_POINT,H0,3,3.8247611423205012,0.5658519542967011,3.805904154083827,1.4922800127973177,0.018856988236674106,0.95594321830025,1
representation,V missing,absolute_l2,REL,H0,3,5.089405032453604,0.6324714062678459,3.805904154083827,1.4922800127973177,1.2835008783697774,1.2662969565435434,0
representation,V missing,absolute_l2,REL,B3_POINT,3,5.089405032453604,0.6324714062678459,3.8247611423205012,0.5658519542967011,1.2646438901331034,0.7056284231507902,0
representation,V missing,cosine_drift,H0,B3_POINT,3,0.09068781821771126,0.03253017609296162,0.05983261625114757,0.01995949748638495,0.03085520196656368,0.03425379840860527,0
representation,V missing,cosine_drift,B3_POINT,H0,3,0.05983261625114757,0.01995949748638495,0.09068781821771126,0.03253017609296162,-0.03085520196656368,0.03425379840860527,3
representation,V missing,cosine_drift,REL,H0,3,0.05696313351616744,0.020388472399019742,0.09068781821771126,0.03253017609296162,-0.03372468470154381,0.04085775797877669,3
representation,V missing,cosine_drift,REL,B3_POINT,3,0.05696313351616744,0.020388472399019742,0.05983261625114757,0.01995949748638495,-0.002869482734980127,0.007390185726487516,2
representation,V missing,legacy_D_cross,H0,B3_POINT,3,0.3567586578840823,0.03328504501832169,0.3870963547991528,0.030891601754390055,-0.030337696915070416,0.011574734181859456,3
representation,V missing,legacy_D_cross,B3_POINT,H0,3,0.3870963547991528,0.030891601754390055,0.3567586578840823,0.03328504501832169,0.030337696915070416,0.011574734181859456,0
representation,V missing,legacy_D_cross,REL,H0,3,0.4084503637898156,0.03570377156206741,0.3567586578840823,0.03328504501832169,0.05169170590573324,0.026515675891695845,0
representation,V missing,legacy_D_cross,REL,B3_POINT,3,0.4084503637898156,0.03570377156206741,0.3870963547991528,0.030891601754390055,0.021354008990662827,0.03619421582663839,1
representation,V missing,relational_drift_rms,H0,B3_POINT,3,0.2599293613357699,0.06958435694903477,0.18227954790806,0.0353584256203326,0.07764981342770992,0.06452352300324984,0
representation,V missing,relational_drift_rms,B3_POINT,H0,3,0.18227954790806,0.0353584256203326,0.2599293613357699,0.06958435694903477,-0.07764981342770992,0.06452352300324984,3
representation,V missing,relational_drift_rms,REL,H0,3,0.10832173156265389,0.011763703816848822,0.2599293613357699,0.06958435694903477,-0.151607629773116,0.06457474333091423,3
representation,V missing,relational_drift_rms,REL,B3_POINT,3,0.10832173156265389,0.011763703816848822,0.18227954790806,0.0353584256203326,-0.07395781634540612,0.02371107469669291,3
representation,V missing,shared_reference_D_cross,H0,B3_POINT,3,0.3567586578840823,0.03328504501832169,0.3763079752674277,0.05657332321803016,-0.01954931738334535,0.08720400119910515,2
representation,V missing,shared_reference_D_cross,B3_POINT,H0,3,0.3763079752674277,0.05657332321803016,0.3567586578840823,0.03328504501832169,0.01954931738334535,0.08720400119910515,1
representation,V missing,shared_reference_D_cross,REL,H0,3,0.5096115224675525,0.13903117042829555,0.3567586578840823,0.03328504501832169,0.15285286458347014,0.1716868736250787,0
representation,V missing,shared_reference_D_cross,REL,B3_POINT,3,0.5096115224675525,0.13903117042829555,0.3763079752674277,0.05657332321803016,0.1333035472001248,0.10354125140468184,0
representation,mean(6),absolute_l2,H0,B3_POINT,3,6.573028354894852,2.221610269935143,6.130005328100456,0.3695214109009354,0.4430230267943962,1.8891841268527445,2
representation,mean(6),absolute_l2,B3_POINT,H0,3,6.130005328100456,0.3695214109009354,6.573028354894852,2.221610269935143,-0.4430230267943962,1.8891841268527445,1
representation,mean(6),absolute_l2,REL,H0,3,8.204070152256968,1.1505512982680817,6.573028354894852,2.221610269935143,1.631041797362115,2.702281714820585,1
representation,mean(6),absolute_l2,REL,B3_POINT,3,8.204070152256968,1.1505512982680817,6.130005328100456,0.3695214109009354,2.0740648241565114,1.3978858052028296,0
representation,mean(6),cosine_drift,H0,B3_POINT,3,0.24023899240956734,0.03741014288723253,0.14521334342162565,0.03183635219857327,0.09502564898794168,0.044286418151911394,0
representation,mean(6),cosine_drift,B3_POINT,H0,3,0.14521334342162565,0.03183635219857327,0.24023899240956734,0.03741014288723253,-0.09502564898794168,0.044286418151911394,3
representation,mean(6),cosine_drift,REL,H0,3,0.12763750454508813,0.019997722902485682,0.24023899240956734,0.03741014288723253,-0.11260148786447921,0.04824234480507077,3
representation,mean(6),cosine_drift,REL,B3_POINT,3,0.12763750454508813,0.019997722902485682,0.14521334342162565,0.03183635219857327,-0.017575838876537537,0.01813473406796372,2
representation,mean(6),legacy_D_cross,H0,B3_POINT,3,0.6239510085844987,0.026125377718361164,0.6231304313552429,0.019706218269412053,0.000820577229255807,0.04575706356601495,1
representation,mean(6),legacy_D_cross,B3_POINT,H0,3,0.6231304313552429,0.019706218269412053,0.6239510085844987,0.026125377718361164,-0.000820577229255807,0.04575706356601495,2
representation,mean(6),legacy_D_cross,REL,H0,3,0.6571198419297123,0.048885147804306125,0.6239510085844987,0.026125377718361164,0.03316883334521351,0.043126195303768725,0
representation,mean(6),legacy_D_cross,REL,B3_POINT,3,0.6571198419297123,0.048885147804306125,0.6231304313552429,0.019706218269412053,0.033989410574469324,0.05908982858979238,1
representation,mean(6),relational_drift_rms,H0,B3_POINT,3,0.3961291485313734,0.0501328946896629,0.2840244712692946,0.02769441187442972,0.11210467726207875,0.06547987590038733,0
representation,mean(6),relational_drift_rms,B3_POINT,H0,3,0.2840244712692946,0.02769441187442972,0.3961291485313734,0.0501328946896629,-0.11210467726207875,0.06547987590038733,3
representation,mean(6),relational_drift_rms,REL,H0,3,0.16811326519602246,0.015464483460483151,0.3961291485313734,0.0501328946896629,-0.22801588333535092,0.050007702384357006,3
representation,mean(6),relational_drift_rms,REL,B3_POINT,3,0.16811326519602246,0.015464483460483151,0.2840244712692946,0.02769441187442972,-0.11591120607327215,0.016399479882517047,3
representation,mean(6),shared_reference_D_cross,H0,B3_POINT,3,0.6239510085844987,0.026125377718361164,0.613303277590664,0.13980937717136255,0.010647730993834703,0.15576166628063123,2
