seed,variant,family,condition,metric,value
42,REL,task,V missing,DeltaMAE,0.01040562127935285
42,REL,task,V missing,DeltaCorr,0.009144649266926486
42,REL,task,T+A missing,MAE,0.802335497354533
42,REL,task,T+A missing,Corr,0.25558728655438817
42,REL,task,T+A missing,DeltaMAE,0.15938378265799513
42,REL,task,T+A missing,DeltaCorr,0.35780299768448326
42,REL,task,T+V missing,MAE,0.8130697108862949
42,REL,task,T+V missing,Corr,0.23657359393774388
42,REL,task,T+V missing,DeltaMAE,0.17011799618975698
42,REL,task,T+V missing,DeltaCorr,0.3768166903011275
42,REL,task,A+V missing,MAE,0.6669248061713161
42,REL,task,A+V missing,Corr,0.5828494028448208
42,REL,task,A+V missing,DeltaMAE,0.02397309147477822
42,REL,task,A+V missing,DeltaCorr,0.030540881394050645
42,REL,task,missAvg,MAE,0.7320123775097588
42,REL,task,missAvg,Corr,0.42811016364882154
42,REL,task,missAvg,DeltaMAE,0.08906066281322102
42,REL,task,missAvg,DeltaCorr,0.18528012059004986
42,REL,representation,T missing,absolute_l2,11.444567323990283
42,REL,representation,T missing,cosine_drift,0.15886697857013954
42,REL,representation,T missing,relational_drift_rms,0.18008737788721102
42,REL,representation,T missing,legacy_D_cross,0.8672778653572016
42,REL,representation,T missing,shared_reference_D_cross,1.471089053907422
42,REL,representation,A missing,absolute_l2,5.0490231122057025
42,REL,representation,A missing,cosine_drift,0.046698118115003726
42,REL,representation,A missing,relational_drift_rms,0.08328736696122331
42,REL,representation,A missing,legacy_D_cross,0.3826187450279404
42,REL,representation,A missing,shared_reference_D_cross,0.6490033588007841
42,REL,representation,V missing,absolute_l2,5.190437788230599
42,REL,representation,V missing,cosine_drift,0.04861364961047429
42,REL,representation,V missing,relational_drift_rms,0.09594471270166052
42,REL,representation,V missing,legacy_D_cross,0.3933352548688988
42,REL,representation,V missing,shared_reference_D_cross,0.6671808552558931
42,REL,representation,T+A missing,absolute_l2,14.39658438553515
42,REL,representation,T+A missing,cosine_drift,0.23223638690009557
42,REL,representation,T+A missing,relational_drift_rms,0.19830250706026042
42,REL,representation,T+A missing,legacy_D_cross,1.0909839245865356
42,REL,representation,T+A missing,shared_reference_D_cross,1.8505424542193247
42,REL,representation,T+V missing,absolute_l2,12.159517931066942
42,REL,representation,T+V missing,cosine_drift,0.19500876952458646
42,REL,representation,T+V missing,relational_drift_rms,0.2259256515060058
42,REL,representation,T+V missing,legacy_D_cross,0.9214573567077832
42,REL,representation,T+V missing,shared_reference_D_cross,1.5629890779433007
42,REL,representation,A+V missing,absolute_l2,7.916018308849304
42,REL,representation,A+V missing,cosine_drift,0.08778794850555896
42,REL,representation,A+V missing,relational_drift_rms,0.12699817829459262
42,REL,representation,A+V missing,legacy_D_cross,0.5998817837906388
42,REL,representation,A+V missing,shared_reference_D_cross,1.0175280161328746
42,REL,representation,mean(6),absolute_l2,9.35935814164633
42,REL,representation,mean(6),cosine_drift,0.12820197520430973
42,REL,representation,mean(6),relational_drift_rms,0.1517576324018256
42,REL,representation,mean(6),legacy_D_cross,0.7092591550564998
42,REL,representation,mean(6),shared_reference_D_cross,1.2030554693765998
43,H0,task,None,MAE,0.6646514268699916
43,H0,task,None,Corr,0.5931944777321796
43,H0,task,None,DeltaMAE,0.0
43,H0,task,None,DeltaCorr,0.0
43,H0,task,T missing,MAE,0.8052529078967838
43,H0,task,T missing,Corr,0.25769186191126364
43,H0,task,T missing,DeltaMAE,0.14060148102679226
43,H0,task,T missing,DeltaCorr,0.33550261582091595
43,H0,task,A missing,MAE,0.666627683289447
43,H0,task,A missing,Corr,0.5942682281600346
43,H0,task,A missing,DeltaMAE,0.0019762564194554244
43,H0,task,A missing,DeltaCorr,-0.0010737504278549581
43,H0,task,V missing,MAE,0.6697101565240375
43,H0,task,V missing,Corr,0.597041181841637
43,H0,task,V missing,DeltaMAE,0.005058729654045968
43,H0,task,V missing,DeltaCorr,-0.0038467041094574217
43,H0,task,T+A missing,MAE,0.8084865356830593
43,H0,task,T+A missing,Corr,0.22669861472169897
43,H0,task,T+A missing,DeltaMAE,0.1438351088130677
43,H0,task,T+A missing,DeltaCorr,0.36649586301048065
