seed,family,condition,metric,H0,H0_B3,difference_B3_minus_H0,relative_change
44,task,A+V missing,DeltaCorr,0.009880878579141328,-0.004661602831762868,-0.014542481410904196,-1.4717801957542314
44,task,missAvg,MAE,0.7394731627875238,0.7364732024951688,-0.002999960292355053,-0.004056888665225283
44,task,missAvg,Corr,0.41835717655235055,0.41794928217930494,-0.00040789437304561416,-0.0009749907397455578
44,task,missAvg,DeltaMAE,0.06382211605864534,0.07393150757207921,0.010109391513433874,0.15839950377054376
44,task,missAvg,DeltaCorr,0.17426702512858563,0.18483121707734199,0.010564191948756352,0.06062071663242531
44,representation,T missing,D_cross,0.7827233685565651,0.7303284264927687,-0.05239494206379636,-0.06693928425869272
44,representation,A missing,D_cross,0.3464018755125008,0.3004730335540838,-0.04592884195841701,-0.13258831780380176
44,representation,V missing,D_cross,0.3877235297035756,0.40667105113781027,0.01894752143423467,0.04886863959139044
44,representation,T+A missing,D_cross,0.9054238433140746,0.813115979211597,-0.0923078641024776,-0.1019498931732415
44,representation,T+V missing,D_cross,0.8995583131378276,0.8642894226637322,-0.03526889047409543,-0.03920689738393027
44,representation,A+V missing,D_cross,0.5695407750270451,0.5055136966624326,-0.06402707836461252,-0.11241877872828285
44,representation,mean(6),D_cross,0.6485619508752648,0.6033986016204042,-0.04516334925486065,-0.06963613760233846
