family,condition,metric,n_seeds,H0_mean,H0_sample_std,H0_B3_mean,H0_B3_sample_std,paired_difference_mean,paired_difference_sample_std,relative_change_mean,B3_improved_seeds
task,A+V missing,Corr,3,0.5890666883433343,0.005952218567083619,0.603198600495685,0.013829762729840838,0.01413191215235062,0.018142087348833793,0.02415814298107061,1
task,A+V missing,DeltaCorr,3,0.006587616984152556,0.0032911766225148407,-0.0016447780378311034,0.020501515621630488,-0.00823239502198366,0.019474346082136315,-2.2032658804006893,2
task,A+V missing,DeltaMAE,3,0.002612257996125115,0.009647140645789495,-0.007108361750650734,0.007310288470048299,-0.00972061974677585,0.015411940728287983,-1.0928252725859173,2
task,A+V missing,MAE,3,0.6717263968767471,0.004521616856853108,0.6565987760333082,0.008949975500404791,-0.015127620843438846,0.012925371616184228,-0.02244217171390592,3
task,None,Corr,3,0.5956543053274869,0.004762962573220707,0.6015538224578538,0.007081943205019201,0.00589951713036696,0.004769953256844538,0.009900308270835963,0
task,None,MAE,3,0.669114138880622,0.00578572601663997,0.663707137783959,0.0020201374916788703,-0.005407001096662996,0.006693536326201797,-0.008026262929884433,3
task,T missing,Corr,3,0.27708091266752893,0.016876866454533034,0.27590882855538124,0.02735708318898068,-0.0011720841121477439,0.014081460468798499,-0.005418037196883281,2
task,T missing,DeltaCorr,3,0.31857339265995793,0.014883615719294018,0.3256449939024726,0.02041069313859147,0.007071601242514695,0.014261518967382942,0.022274763270682674,1
task,T missing,DeltaMAE,3,0.13335910776543258,0.00821193159491116,0.1424676686545671,0.006170423791976145,0.009108560889134512,0.008268957370397364,0.07040395743390383,0
task,T missing,MAE,3,0.8024732466460546,0.002604822235863426,0.8061748064385261,0.004575781906342521,0.003701559792471517,0.0029622606143219735,0.004609953006780655,0
task,T+A missing,Corr,3,0.2345425734519353,0.009188228992818627,0.22944642665797207,0.0050320049544518445,-0.00509614679396327,0.012078228213776831,-0.020532242858468015,1
task,T+A missing,DeltaCorr,3,0.3611117318755515,0.011440272125920215,0.3721073957998818,0.005385548767218576,0.010995663924330231,0.015847746885821416,0.03139046929872352,1
task,T+A missing,DeltaMAE,3,0.14077090944617965,0.007837343232506488,0.14890191997853738,0.007514470660692919,0.008131010532357727,0.012004452666776817,0.060436824881784756,1
task,T+A missing,MAE,3,0.8098850483268016,0.003299209650756264,0.8126090577624963,0.005794404030627012,0.0027240094356947298,0.008454921063545612,0.0033882205780763884,1
task,T+V missing,Corr,3,0.22130324294855255,0.006908461522964629,0.21392531922881478,0.02440339105382907,-0.00737792371973776,0.02499410083245256,-0.03283457545708637,2
task,T+V missing,DeltaCorr,3,0.37435106237893434,0.010234526331109287,0.387628503229039,0.02378913798622059,0.013277440850104738,0.026449218207331284,0.03603566164001285,1
task,T+V missing,DeltaMAE,3,0.14852472259897398,0.005931328268502288,0.15832312080159464,0.005907209139311449,0.009798398202620665,0.010572418754133492,0.06777804621635426,1
task,T+V missing,MAE,3,0.8176388614795959,0.001271548064362886,0.8220302585855537,0.0039042843865577243,0.004391397105957669,0.005070738711681823,0.00537685712360186,1
task,V missing,Corr,3,0.5908628952204117,0.009798513019972394,0.6036849471135609,0.004977770029036975,0.012822051893149259,0.011522862685030624,0.021901393279003922,0
task,V missing,DeltaCorr,3,0.004791410107075178,0.008459001366972202,-0.002131124655707121,0.011903025438631826,-0.006922534762782299,0.01016744696335022,-0.9834582443839848,2
task,V missing,DeltaMAE,3,0.005252996897683955,0.003117309903408852,0.0008902310992366935,0.006379210678894618,-0.004362765798447262,0.00845550023940219,-0.2010686420101542,2
task,V missing,MAE,3,0.6743671357783058,0.00844375752150636,0.6645973688831956,0.008255860455991047,-0.009769766895110258,0.013022628997069198,-0.014363049269030379,2
task,missAvg,Corr,3,0.41820578737324143,0.002325893736860761,0.42128215455177553,0.00454193044797568,0.0030763671785341007,0.003241681792064989,0.007347363256739667,1
task,missAvg,DeltaCorr,3,0.17744851795424546,0.0032129092845103084,0.18027166790607832,0.0052732122844149085,0.0028231499518328595,0.006952462192297988,0.01624327818055621,1
task,missAvg,DeltaMAE,3,0.07150540840928926,0.006680213987520332,0.07285451589968246,0.0012591320220610325,0.0013491074903932098,0.007590872945096573,0.02596210200885332,2
task,missAvg,MAE,3,0.7406195472899112,0.0011611644790848227,0.7365616536836413,0.0009073109510885229,-0.004057893606269847,0.0009646442879655444,-0.005478176312146229,3
